source,target,is_chronic_path,gender_f,gender_m,gender_all,age_le_40,age_mid,age_gt_60,age_all,within_02_years,within_05_years,within_10_years,within_all_years,Weight
13,1,0,1,0,1,0,1,0,1,0,1,1,1,1
13,1,0,1,0,1,1,0,0,1,1,1,1,1,2
13,2,0,0,1,1,0,0,1,1,0,1,1,1,1
13,2,0,0,1,1,0,1,0,1,1,1,1,1,1
13,2,0,1,0,1,0,0,1,1,1,1,1,1,12
13,2,0,1,0,1,0,1,0,1,0,0,0,1,1
13,2,0,1,0,1,0,1,0,1,0,1,1,1,6
13,2,0,1,0,1,1,0,0,1,1,1,1,1,8
13,14,0,0,1,1,0,0,1,1,1,1,1,1,3
13,14,0,0,1,1,0,1,0,1,0,1,1,1,1
13,14,0,0,1,1,0,1,0,1,1,1,1,1,5
13,14,0,1,0,1,0,0,1,1,0,1,1,1,10
13,14,0,1,0,1,0,0,1,1,1,1,1,1,5
13,14,0,1,0,1,0,1,0,1,0,1,1,1,1
13,14,0,1,0,1,0,1,0,1,1,1,1,1,4
13,14,0,1,0,1,1,0,0,1,0,1,1,1,1
13,14,0,1,0,1,1,0,0,1,1,1,1,1,1
13,3,0,0,1,1,0,0,1,1,0,1,1,1,2
13,3,0,0,1,1,0,0,1,1,1,1,1,1,16
13,3,0,1,0,1,0,0,1,1,0,0,0,1,1
13,3,0,1,0,1,0,0,1,1,1,1,1,1,10
13,3,0,1,0,1,0,1,0,1,0,1,1,1,2
13,3,0,1,0,1,0,1,0,1,1,1,1,1,2
13,3,0,1,0,1,1,0,0,1,1,1,1,1,2
13,4,0,0,1,1,0,0,1,1,0,1,1,1,5
13,4,0,0,1,1,0,0,1,1,1,1,1,1,78
13,4,0,0,1,1,0,1,0,1,0,0,0,1,1
13,4,0,0,1,1,0,1,0,1,0,1,1,1,2
13,4,0,0,1,1,0,1,0,1,1,1,1,1,7
13,4,0,1,0,1,0,0,1,1,0,0,0,1,3
13,4,0,1,0,1,0,0,1,1,0,0,1,1,2
13,4,0,1,0,1,0,0,1,1,0,1,1,1,2
13,4,0,1,0,1,0,0,1,1,1,1,1,1,46
13,4,0,1,0,1,0,1,0,1,0,0,0,1,1
13,4,0,1,0,1,0,1,0,1,0,0,1,1,2
13,4,0,1,0,1,0,1,0,1,0,1,1,1,1
13,4,0,1,0,1,0,1,0,1,1,1,1,1,14
13,4,0,1,0,1,1,0,0,1,0,0,0,1,1
13,4,0,1,0,1,1,0,0,1,1,1,1,1,3
13,6,0,0,1,1,0,0,1,1,1,1,1,1,48
13,6,0,0,1,1,1,0,0,1,1,1,1,1,1
13,6,0,1,0,1,0,0,1,1,0,1,1,1,2
13,6,0,1,0,1,0,0,1,1,1,1,1,1,75
13,6,0,1,0,1,0,1,0,1,0,0,0,1,1
13,6,0,1,0,1,0,1,0,1,1,1,1,1,21
13,15,0,0,1,1,0,0,1,1,0,1,1,1,2
13,15,0,0,1,1,0,0,1,1,1,1,1,1,35
